Downloaded on,"5/28/2026","2:54:43 PM"
Url,"https://www.congress.gov/votes/house/117-2/515"
Result,"Failed - Yea: 129 | Nay: 227 (R 128-46 Pres=0 NV=39, D 1-181 Pres=0 NV=36, I 0-0 Pres=0 NV=0)"

Representative,Party,State,Vote
"Adams, Alma S. [D-NC]",Democratic,North Carolina,Not Voting,
"Aderholt, Robert B. [R-AL]",Republican,Alabama,Yea,
"Aguilar, Pete [D-CA]",Democratic,California,Nay,
"Allen, Rick W. [R-GA]",Republican,Georgia,Yea,
"Allred, Colin Z. [D-TX]",Democratic,Texas,Nay,
"Amodei, Mark E. [R-NV]",Republican,Nevada,Yea,
"Armstrong, Kelly [R-ND]",Republican,North Dakota,Yea,
"Arrington, Jodey C. [R-TX]",Republican,Texas,Yea,
"Auchincloss, Jake [D-MA]",Democratic,Massachusetts,Nay,
"Axne, Cynthia [D-IA]",Democratic,Iowa,Not Voting,
"Babin, Brian [R-TX]",Republican,Texas,Yea,
"Bacon, Don [R-NE]",Republican,Nebraska,Not Voting,
"Baird, James R. [R-IN]",Republican,Indiana,Not Voting,
"Balderson, Troy [R-OH]",Republican,Ohio,Yea,
"Banks, Jim [R-IN]",Republican,Indiana,Not Voting,
"Barr, Andy [R-KY]",Republican,Kentucky,Not Voting,
"Barragan, Nanette Diaz [D-CA]",Democratic,California,Nay,
"Bass, Karen [D-CA]",Democratic,California,Not Voting,
"Beatty, Joyce [D-OH]",Democratic,Ohio,Nay,
"Bentz, Cliff [R-OR]",Republican,Oregon,Yea,
"Bera, Ami [D-CA]",Democratic,California,Nay,
"Bergman, Jack [R-MI]",Republican,Michigan,Nay,
"Beyer, Donald S. [D-VA]",Democratic,Virginia,Not Voting,
"Bice, Stephanie I. [R-OK]",Republican,Oklahoma,Nay,
"Biggs, Andy [R-AZ]",Republican,Arizona,Yea,
"Bilirakis, Gus M. [R-FL]",Republican,Florida,Yea,
"Bishop, Dan [R-NC]",Republican,North Carolina,Yea,
"Bishop, Sanford D. [D-GA]",Democratic,Georgia,Nay,
"Blumenauer, Earl [D-OR]",Democratic,Oregon,Nay,
"Blunt Rochester, Lisa [D-DE]",Democratic,Delaware,Nay,
"Boebert, Lauren [R-CO]",Republican,Colorado,Yea,
"Bonamici, Suzanne [D-OR]",Democratic,Oregon,Nay,
"Bost, Mike [R-IL]",Republican,Illinois,Yea,
"Bourdeaux, Carolyn [D-GA]",Democratic,Georgia,Nay,
"Bowman, Jamaal [D-NY]",Democratic,New York,Nay,
"Boyle, Brendan F. [D-PA]",Democratic,Pennsylvania,Nay,
"Brady, Kevin [R-TX]",Republican,Texas,Nay,
"Brooks, Mo [R-AL]",Republican,Alabama,Yea,
"Brown, Anthony G. [D-MD]",Democratic,Maryland,Nay,
"Brown, Shontel M. [D-OH]",Democratic,Ohio,Nay,
"Brownley, Julia [D-CA]",Democratic,California,Nay,
"Buchanan, Vern [R-FL]",Republican,Florida,Not Voting,
"Buck, Ken [R-CO]",Republican,Colorado,Not Voting,
"Bucshon, Larry [R-IN]",Republican,Indiana,Not Voting,
"Budd, Ted [R-NC]",Republican,North Carolina,Not Voting,
"Burchett, Tim [R-TN]",Republican,Tennessee,Yea,
"Burgess, Michael C. [R-TX]",Republican,Texas,Not Voting,
"Bush, Cori [D-MO]",Democratic,Missouri,Nay,
"Bustos, Cheri [D-IL]",Democratic,Illinois,Not Voting,
"Butterfield, G. K. [D-NC]",Democratic,North Carolina,Nay,
"Calvert, Ken [R-CA]",Republican,California,Nay,
"Cammack, Kat [R-FL]",Republican,Florida,Yea,
"Carbajal, Salud O. [D-CA]",Democratic,California,Nay,
"Cárdenas, Tony [D-CA]",Democratic,California,Nay,
"Carey, Mike [R-OH]",Republican,Ohio,Yea,
"Carl, Jerry L. [R-AL]",Republican,Alabama,Nay,
"Carson, André [D-IN]",Democratic,Indiana,Nay,
"Carter, Earl L. ""Buddy"" [R-GA]",Republican,Georgia,Not Voting,
"Carter, John R. [R-TX]",Republican,Texas,Yea,
"Carter, Troy [D-LA]",Democratic,Louisiana,Nay,
"Cartwright, Matt [D-PA]",Democratic,Pennsylvania,Nay,
"Case, Ed [D-HI]",Democratic,Hawaii,Nay,
"Casten, Sean [D-IL]",Democratic,Illinois,Nay,
"Castor, Kathy [D-FL]",Democratic,Florida,Nay,
"Castro, Joaquin [D-TX]",Democratic,Texas,Nay,
"Cawthorn, Madison [R-NC]",Republican,North Carolina,Yea,
"Chabot, Steve [R-OH]",Republican,Ohio,Not Voting,
"Cheney, Liz [R-WY]",Republican,Wyoming,Not Voting,
"Cherfilus-McCormick, Sheila [D-FL]",Democratic,Florida,Not Voting,
"Chu, Judy [D-CA]",Democratic,California,Nay,
"Cicilline, David N. [D-RI]",Democratic,Rhode Island,Not Voting,
"Clark, Katherine M. [D-MA]",Democratic,Massachusetts,Nay,
"Clarke, Yvette D. [D-NY]",Democratic,New York,Nay,
"Cleaver, Emanuel [D-MO]",Democratic,Missouri,Nay,
"Cline, Ben [R-VA]",Republican,Virginia,Yea,
"Cloud, Michael [R-TX]",Republican,Texas,Yea,
"Clyburn, James E. [D-SC]",Democratic,South Carolina,Nay,
"Clyde, Andrew S. [R-GA]",Republican,Georgia,Nay,
"Cohen, Steve [D-TN]",Democratic,Tennessee,Not Voting,
"Cole, Tom [R-OK]",Republican,Oklahoma,Nay,
"Comer, James [R-KY]",Republican,Kentucky,Yea,
"Connolly, Gerald E. [D-VA]",Democratic,Virginia,Nay,
"Conway, Connie [R-CA]",Republican,California,Yea,
"Cooper, Jim [D-TN]",Democratic,Tennessee,Nay,
"Correa, J. Luis [D-CA]",Democratic,California,Nay,
"Costa, Jim [D-CA]",Democratic,California,Nay,
"Courtney, Joe [D-CT]",Democratic,Connecticut,Nay,
"Craig, Angie [D-MN]",Democratic,Minnesota,Not Voting,
"Crawford, Eric A. ""Rick"" [R-AR]",Republican,Arkansas,Nay,
"Crenshaw, Dan [R-TX]",Republican,Texas,Nay,
"Crow, Jason [D-CO]",Democratic,Colorado,Nay,
"Cuellar, Henry [D-TX]",Democratic,Texas,Nay,
"Curtis, John R. [R-UT]",Republican,Utah,Yea,
"Davids, Sharice [D-KS]",Democratic,Kansas,Not Voting,
"Davidson, Warren [R-OH]",Republican,Ohio,Yea,
"Davis, Danny K. [D-IL]",Democratic,Illinois,Nay,
