Downloaded on,"5/28/2026","2:34:34 PM"
Url,"https://www.congress.gov/votes/house/119-1/339"
Result,"Failed - Yea: 208 | Nay: 218 (R 0-218 Pres=0 NV=2, D 208-0 Pres=0 NV=5, I 0-0 Pres=0 NV=0)"

Representative,Party,State,Vote
"Adams, Alma S. [D-NC]",Democratic,North Carolina,Yea,
"Aderholt, Robert B. [R-AL]",Republican,Alabama,Nay,
"Aguilar, Pete [D-CA]",Democratic,California,Yea,
"Alford, Mark [R-MO]",Republican,Missouri,Nay,
"Allen, Rick W. [R-GA]",Republican,Georgia,Nay,
"Amo, Gabe [D-RI]",Democratic,Rhode Island,Yea,
"Amodei, Mark E. [R-NV]",Republican,Nevada,Nay,
"Ansari, Yassamin [D-AZ]",Democratic,Arizona,Yea,
"Arrington, Jodey C. [R-TX]",Republican,Texas,Nay,
"Auchincloss, Jake [D-MA]",Democratic,Massachusetts,Yea,
"Babin, Brian [R-TX]",Republican,Texas,Nay,
"Bacon, Don [R-NE]",Republican,Nebraska,Nay,
"Baird, James R. [R-IN]",Republican,Indiana,Nay,
"Balderson, Troy [R-OH]",Republican,Ohio,Nay,
"Balint, Becca [D-VT]",Democratic,Vermont,Yea,
"Barr, Andy [R-KY]",Republican,Kentucky,Nay,
"Barragán, Nanette Diaz [D-CA]",Democratic,California,Yea,
"Barrett, Tom [R-MI]",Republican,Michigan,Nay,
"Baumgartner, Michael [R-WA]",Republican,Washington,Nay,
"Bean, Aaron [R-FL]",Republican,Florida,Nay,
"Beatty, Joyce [D-OH]",Democratic,Ohio,Yea,
"Begich, Nicholas J. [R-AK]",Republican,Alaska,Nay,
"Bell, Wesley [D-MO]",Democratic,Missouri,Yea,
"Bentz, Cliff [R-OR]",Republican,Oregon,Nay,
"Bera, Ami [D-CA]",Democratic,California,Yea,
"Bergman, Jack [R-MI]",Republican,Michigan,Nay,
"Beyer, Donald S. [D-VA]",Democratic,Virginia,Yea,
"Bice, Stephanie I. [R-OK]",Republican,Oklahoma,Nay,
"Biggs, Andy [R-AZ]",Republican,Arizona,Nay,
"Biggs, Sheri [R-SC]",Republican,South Carolina,Nay,
"Bilirakis, Gus M. [R-FL]",Republican,Florida,Nay,
"Bishop, Sanford D. [D-GA]",Democratic,Georgia,Yea,
"Boebert, Lauren [R-CO]",Republican,Colorado,Nay,
"Bonamici, Suzanne [D-OR]",Democratic,Oregon,Yea,
"Bost, Mike [R-IL]",Republican,Illinois,Nay,
"Boyle, Brendan F. [D-PA]",Democratic,Pennsylvania,Yea,
"Brecheen, Josh [R-OK]",Republican,Oklahoma,Nay,
"Bresnahan, Robert P. [R-PA]",Republican,Pennsylvania,Nay,
"Brown, Shontel M. [D-OH]",Democratic,Ohio,Yea,
"Brownley, Julia [D-CA]",Democratic,California,Yea,
"Buchanan, Vern [R-FL]",Republican,Florida,Nay,
"Budzinski, Nikki [D-IL]",Democratic,Illinois,Yea,
