Downloaded on,"5/28/2026","2:34:24 PM"
Url,"https://www.congress.gov/votes/house/119-1/327"
Result,"Failed - Yea: 214 | Nay: 215 (R 2-214 Pres=0 NV=6, D 212-1 Pres=0 NV=3, I 0-0 Pres=0 NV=0)"

Representative,Party,State,Vote
"Adams, Alma S. [D-NC]",Democratic,North Carolina,Aye,
"Aderholt, Robert B. [R-AL]",Republican,Alabama,No,
"Aguilar, Pete [D-CA]",Democratic,California,Aye,
"Alford, Mark [R-MO]",Republican,Missouri,No,
"Allen, Rick W. [R-GA]",Republican,Georgia,No,
"Amo, Gabe [D-RI]",Democratic,Rhode Island,Aye,
"Amodei, Mark E. [R-NV]",Republican,Nevada,No,
"Ansari, Yassamin [D-AZ]",Democratic,Arizona,Aye,
"Arrington, Jodey C. [R-TX]",Republican,Texas,No,
"Auchincloss, Jake [D-MA]",Democratic,Massachusetts,Aye,
"Babin, Brian [R-TX]",Republican,Texas,No,
"Bacon, Don [R-NE]",Republican,Nebraska,No,
"Baird, James R. [R-IN]",Republican,Indiana,No,
"Balderson, Troy [R-OH]",Republican,Ohio,No,
"Balint, Becca [D-VT]",Democratic,Vermont,Aye,
"Barr, Andy [R-KY]",Republican,Kentucky,No,
"Barragán, Nanette Diaz [D-CA]",Democratic,California,Aye,
"Barrett, Tom [R-MI]",Republican,Michigan,No,
"Baumgartner, Michael [R-WA]",Republican,Washington,No,
"Bean, Aaron [R-FL]",Republican,Florida,No,
"Beatty, Joyce [D-OH]",Democratic,Ohio,Aye,
"Begich, Nicholas J. [R-AK]",Republican,Alaska,No,
"Bell, Wesley [D-MO]",Democratic,Missouri,Aye,
"Bentz, Cliff [R-OR]",Republican,Oregon,No,
"Bera, Ami [D-CA]",Democratic,California,Aye,
"Bergman, Jack [R-MI]",Republican,Michigan,No,
"Beyer, Donald S. [D-VA]",Democratic,Virginia,Aye,
"Bice, Stephanie I. [R-OK]",Republican,Oklahoma,No,
"Biggs, Andy [R-AZ]",Republican,Arizona,No,
"Biggs, Sheri [R-SC]",Republican,South Carolina,No,
"Bilirakis, Gus M. [R-FL]",Republican,Florida,No,
"Bishop, Sanford D. [D-GA]",Democratic,Georgia,Aye,
"Boebert, Lauren [R-CO]",Republican,Colorado,No,
"Bonamici, Suzanne [D-OR]",Democratic,Oregon,Aye,
"Bost, Mike [R-IL]",Republican,Illinois,No,
"Boyle, Brendan F. [D-PA]",Democratic,Pennsylvania,Aye,
"Brecheen, Josh [R-OK]",Republican,Oklahoma,No,
"Bresnahan, Robert P. [R-PA]",Republican,Pennsylvania,No,
"Brown, Shontel M. [D-OH]",Democratic,Ohio,Aye,
"Brownley, Julia [D-CA]",Democratic,California,Aye,
"Buchanan, Vern [R-FL]",Republican,Florida,No,
"Budzinski, Nikki [D-IL]",Democratic,Illinois,Aye,
"Burchett, Tim [R-TN]",Republican,Tennessee,No,
"Burlison, Eric [R-MO]",Republican,Missouri,No,
"Bynum, Janelle S. [D-OR]",Democratic,Oregon,Aye,
"Calvert, Ken [R-CA]",Republican,California,No,
"Cammack, Kat [R-FL]",Republican,Florida,No,
"Carbajal, Salud O. [D-CA]",Democratic,California,Aye,
"Carey, Mike [R-OH]",Republican,Ohio,No,
"Carson, André [D-IN]",Democratic,Indiana,Aye,
"Carter, Earl L. ""Buddy"" [R-GA]",Republican,Georgia,No,
"Carter, John R. [R-TX]",Republican,Texas,No,
"Carter, Troy A. [D-LA]",Democratic,Louisiana,Aye,
"Casar, Greg [D-TX]",Democratic,Texas,Aye,
"Case, Ed [D-HI]",Democratic,Hawaii,Aye,
"Casten, Sean [D-IL]",Democratic,Illinois,Aye,
"Castor, Kathy [D-FL]",Democratic,Florida,Aye,
"Castro, Joaquin [D-TX]",Democratic,Texas,Aye,
"Cherfilus-McCormick, Sheila [D-FL]",Democratic,Florida,Aye,
"Chu, Judy [D-CA]",Democratic,California,Aye,
"Ciscomani, Juan [R-AZ]",Republican,Arizona,No,
"Cisneros, Gilbert Ray [D-CA]",Democratic,California,Aye,
"Clark, Katherine M. [D-MA]",Democratic,Massachusetts,Aye,
"Clarke, Yvette D. [D-NY]",Democratic,New York,Aye,
"Cleaver, Emanuel [D-MO]",Democratic,Missouri,Aye,
"Cline, Ben [R-VA]",Republican,Virginia,No,
"Cloud, Michael [R-TX]",Republican,Texas,No,
"Clyburn, James E. [D-SC]",Democratic,South Carolina,Aye,
"Clyde, Andrew S. [R-GA]",Republican,Georgia,No,
"Cohen, Steve [D-TN]",Democratic,Tennessee,Aye,
"Cole, Tom [R-OK]",Republican,Oklahoma,No,
"Collins, Mike [R-GA]",Republican,Georgia,No,
"Comer, James [R-KY]",Republican,Kentucky,No,
"Conaway, Herbert C. [D-NJ]",Democratic,New Jersey,Aye,
