Downloaded on,"5/28/2026","2:34:17 PM"
Url,"https://www.congress.gov/votes/house/119-1/318"
Result,"Passed - Yea: 215 | Nay: 211 (R 215-1 Pres=0 NV=4, D 0-210 Pres=0 NV=3, I 0-0 Pres=0 NV=0)"

Representative,Party,State,Vote
"Adams, Alma S. [D-NC]",Democratic,North Carolina,No,
"Aderholt, Robert B. [R-AL]",Republican,Alabama,Aye,
"Aguilar, Pete [D-CA]",Democratic,California,No,
"Alford, Mark [R-MO]",Republican,Missouri,Aye,
"Allen, Rick W. [R-GA]",Republican,Georgia,Aye,
"Amo, Gabe [D-RI]",Democratic,Rhode Island,No,
"Amodei, Mark E. [R-NV]",Republican,Nevada,Aye,
"Ansari, Yassamin [D-AZ]",Democratic,Arizona,No,
"Arrington, Jodey C. [R-TX]",Republican,Texas,Aye,
"Auchincloss, Jake [D-MA]",Democratic,Massachusetts,No,
"Babin, Brian [R-TX]",Republican,Texas,Aye,
"Bacon, Don [R-NE]",Republican,Nebraska,Aye,
"Baird, James R. [R-IN]",Republican,Indiana,Aye,
"Balderson, Troy [R-OH]",Republican,Ohio,Aye,
"Balint, Becca [D-VT]",Democratic,Vermont,No,
"Barr, Andy [R-KY]",Republican,Kentucky,Aye,
"Barragán, Nanette Diaz [D-CA]",Democratic,California,No,
"Barrett, Tom [R-MI]",Republican,Michigan,Aye,
"Baumgartner, Michael [R-WA]",Republican,Washington,Aye,
"Bean, Aaron [R-FL]",Republican,Florida,Aye,
"Beatty, Joyce [D-OH]",Democratic,Ohio,No,
"Begich, Nicholas J. [R-AK]",Republican,Alaska,Aye,
"Bell, Wesley [D-MO]",Democratic,Missouri,No,
"Bentz, Cliff [R-OR]",Republican,Oregon,Aye,
"Bera, Ami [D-CA]",Democratic,California,No,
"Bergman, Jack [R-MI]",Republican,Michigan,Aye,
"Beyer, Donald S. [D-VA]",Democratic,Virginia,No,
"Bice, Stephanie I. [R-OK]",Republican,Oklahoma,Aye,
"Biggs, Andy [R-AZ]",Republican,Arizona,Aye,
"Biggs, Sheri [R-SC]",Republican,South Carolina,Aye,
"Bilirakis, Gus M. [R-FL]",Republican,Florida,Aye,
"Bishop, Sanford D. [D-GA]",Democratic,Georgia,No,
"Boebert, Lauren [R-CO]",Republican,Colorado,Aye,
"Bonamici, Suzanne [D-OR]",Democratic,Oregon,No,
"Bost, Mike [R-IL]",Republican,Illinois,Aye,
"Boyle, Brendan F. [D-PA]",Democratic,Pennsylvania,No,
"Brecheen, Josh [R-OK]",Republican,Oklahoma,Aye,
"Bresnahan, Robert P. [R-PA]",Republican,Pennsylvania,Aye,
"Brown, Shontel M. [D-OH]",Democratic,Ohio,No,
"Brownley, Julia [D-CA]",Democratic,California,No,
"Buchanan, Vern [R-FL]",Republican,Florida,Aye,
"Budzinski, Nikki [D-IL]",Democratic,Illinois,No,
"Burchett, Tim [R-TN]",Republican,Tennessee,Aye,
"Burlison, Eric [R-MO]",Republican,Missouri,Aye,
"Bynum, Janelle S. [D-OR]",Democratic,Oregon,No,
"Calvert, Ken [R-CA]",Republican,California,Aye,
"Cammack, Kat [R-FL]",Republican,Florida,Aye,
"Carbajal, Salud O. [D-CA]",Democratic,California,No,
"Carey, Mike [R-OH]",Republican,Ohio,Aye,
"Carson, André [D-IN]",Democratic,Indiana,No,
"Carter, Earl L. ""Buddy"" [R-GA]",Republican,Georgia,Aye,
"Carter, John R. [R-TX]",Republican,Texas,Aye,
"Carter, Troy A. [D-LA]",Democratic,Louisiana,No,
"Casar, Greg [D-TX]",Democratic,Texas,No,
"Case, Ed [D-HI]",Democratic,Hawaii,No,
"Casten, Sean [D-IL]",Democratic,Illinois,No,
"Castor, Kathy [D-FL]",Democratic,Florida,No,
"Castro, Joaquin [D-TX]",Democratic,Texas,No,
"Cherfilus-McCormick, Sheila [D-FL]",Democratic,Florida,No,
"Chu, Judy [D-CA]",Democratic,California,No,
"Ciscomani, Juan [R-AZ]",Republican,Arizona,Aye,
"Cisneros, Gilbert Ray [D-CA]",Democratic,California,No,
"Clark, Katherine M. [D-MA]",Democratic,Massachusetts,No,
"Clarke, Yvette D. [D-NY]",Democratic,New York,No,
"Cleaver, Emanuel [D-MO]",Democratic,Missouri,No,
"Cline, Ben [R-VA]",Republican,Virginia,Aye,
"Cloud, Michael [R-TX]",Republican,Texas,Aye,
"Clyburn, James E. [D-SC]",Democratic,South Carolina,No,
"Clyde, Andrew S. [R-GA]",Republican,Georgia,Aye,
"Cohen, Steve [D-TN]",Democratic,Tennessee,No,
"Cole, Tom [R-OK]",Republican,Oklahoma,Aye,
"Collins, Mike [R-GA]",Republican,Georgia,Aye,
"Comer, James [R-KY]",Republican,Kentucky,Aye,
"Conaway, Herbert C. [D-NJ]",Democratic,New Jersey,No,
"Correa, J. Luis [D-CA]",Democratic,California,No,
"Costa, Jim [D-CA]",Democratic,California,No,
"Courtney, Joe [D-CT]",Democratic,Connecticut,No,
"Craig, Angie [D-MN]",Democratic,Minnesota,No,
"Crane, Elijah [R-AZ]",Republican,Arizona,Aye,
"Crank, Jeff [R-CO]",Republican,Colorado,Aye,
"Crawford, Eric A. ""Rick"" [R-AR]",Republican,Arkansas,Aye,
"Crenshaw, Dan [R-TX]",Republican,Texas,Aye,
"Crockett, Jasmine [D-TX]",Democratic,Texas,No,
"Crow, Jason [D-CO]",Democratic,Colorado,No,
"Cuellar, Henry [D-TX]",Democratic,Texas,No,
"Davids, Sharice [D-KS]",Democratic,Kansas,No,
"Davidson, Warren [R-OH]",Republican,Ohio,Aye,
"Davis, Danny K. [D-IL]",Democratic,Illinois,No,
"Davis, Donald G. [D-NC]",Democratic,North Carolina,No,
"De La Cruz, Monica [R-TX]",Republican,Texas,Aye,
"Dean, Madeleine [D-PA]",Democratic,Pennsylvania,No,
"DeGette, Diana [D-CO]",Democratic,Colorado,No,
"DeLauro, Rosa L. [D-CT]",Democratic,Connecticut,No,
"DelBene, Suzan K. [D-WA]",Democratic,Washington,No,
"Deluzio, Christopher R. [D-PA]",Democratic,Pennsylvania,No,
"DeSaulnier, Mark [D-CA]",Democratic,California,No,
"DesJarlais, Scott [R-TN]",Republican,Tennessee,Aye,
"Dexter, Maxine [D-OR]",Democratic,Oregon,No,
"Diaz-Balart, Mario [R-FL]",Republican,Florida,Aye,
"Dingell, Debbie [D-MI]",Democratic,Michigan,No,
"Doggett, Lloyd [D-TX]",Democratic,Texas,No,
"Donalds, Byron [R-FL]",Republican,Florida,Aye,
"Downing, Troy [R-MT]",Republican,Montana,Aye,
"Dunn, Neal P. [R-FL]",Republican,Florida,Aye,
"Edwards, Chuck [R-NC]",Republican,North Carolina,Aye,
"Elfreth, Sarah [D-MD]",Democratic,Maryland,No,
"Ellzey, Jake [R-TX]",Republican,Texas,Aye,
"Emmer, Tom [R-MN]",Republican,Minnesota,Aye,
"Escobar, Veronica [D-TX]",Democratic,Texas,No,
"Espaillat, Adriano [D-NY]",Democratic,New York,No,
"Estes, Ron [R-KS]",Republican,Kansas,Aye,
"Evans, Dwight [D-PA]",Democratic,Pennsylvania,No,
"Evans, Gabe [R-CO]",Republican,Colorado,Aye,
"Ezell, Mike [R-MS]",Republican,Mississippi,Aye,
"Fallon, Pat [R-TX]",Republican,Texas,Aye,
"Fedorchak, Julie [R-ND]",Republican,North Dakota,Aye,
"Feenstra, Randy [R-IA]",Republican,Iowa,Aye,
"Fields, Cleo [D-LA]",Democratic,Louisiana,No,
"Figures, Shomari [D-AL]",Democratic,Alabama,No,
"Fine, Randy [R-FL]",Republican,Florida,Aye,
"Finstad, Brad [R-MN]",Republican,Minnesota,Aye,
"Fischbach, Michelle [R-MN]",Republican,Minnesota,Aye,
"Fitzgerald, Scott [R-WI]",Republican,Wisconsin,Aye,
"Fitzpatrick, Brian K. [R-PA]",Republican,Pennsylvania,Aye,
"Fleischmann, Charles J. ""Chuck"" [R-TN]",Republican,Tennessee,Aye,
"Fletcher, Lizzie [D-TX]",Democratic,Texas,No,
"Flood, Mike [R-NE]",Republican,Nebraska,Aye,
"Fong, Vince [R-CA]",Republican,California,Aye,
"Foster, Bill [D-IL]",Democratic,Illinois,No,
"Foushee, Valerie P. [D-NC]",Democratic,North Carolina,No,
"Foxx, Virginia [R-NC]",Republican,North Carolina,Aye,
"Frankel, Lois [D-FL]",Democratic,Florida,No,
"Franklin, Scott [R-FL]",Republican,Florida,Aye,
"Friedman, Laura [D-CA]",Democratic,California,No,
"Frost, Maxwell [D-FL]",Democratic,Florida,No,
"Fry, Russell [R-SC]",Republican,South Carolina,Aye,
"Fulcher, Russ [R-ID]",Republican,Idaho,Aye,
"Garamendi, John [D-CA]",Democratic,California,No,
"Garbarino, Andrew R. [R-NY]",Republican,New York,Aye,
"García, Jesús G. ""Chuy"" [D-IL]",Democratic,Illinois,No,
"Garcia, Robert [D-CA]",Democratic,California,No,
"Garcia, Sylvia R. [D-TX]",Democratic,Texas,No,
"Gill, Brandon [R-TX]",Republican,Texas,Aye,
"Gillen, Laura [D-NY]",Democratic,New York,No,
"Gimenez, Carlos A. [R-FL]",Republican,Florida,Not Voting,
"Golden, Jared F. [D-ME]",Democratic,Maine,No,
"Goldman, Craig A. [R-TX]",Republican,Texas,Aye,
"Goldman, Daniel S. [D-NY]",Democratic,New York,No,
"Gomez, Jimmy [D-CA]",Democratic,California,No,
"Gonzales, Tony [R-TX]",Republican,Texas,Aye,
"Gonzalez, Vicente [D-TX]",Democratic,Texas,No,
"Gooden, Lance [R-TX]",Republican,Texas,Aye,
"Goodlander, Maggie [D-NH]",Democratic,New Hampshire,No,
"Gosar, Paul A. [R-AZ]",Republican,Arizona,Aye,
"Gottheimer, Josh [D-NJ]",Democratic,New Jersey,No,
"Graves, Sam [R-MO]",Republican,Missouri,Aye,
"Gray, Adam [D-CA]",Democratic,California,No,
"Green, Al [D-TX]",Democratic,Texas,No,
"Greene, Marjorie Taylor [R-GA]",Republican,Georgia,Aye,
"Griffith, H. Morgan [R-VA]",Republican,Virginia,Aye,
"Grijalva, Adelita S. [D-AZ]",Democratic,Arizona,No,
"Grothman, Glenn [R-WI]",Republican,Wisconsin,Aye,
"Guest, Michael [R-MS]",Republican,Mississippi,Aye,
"Guthrie, Brett [R-KY]",Republican,Kentucky,Aye,
"Hageman, Harriet M. [R-WY]",Republican,Wyoming,Aye,
"Hamadeh, Abraham J. [R-AZ]",Republican,Arizona,Aye,
"Harder, Josh [D-CA]",Democratic,California,No,
"Haridopolos, Mike [R-FL]",Republican,Florida,Aye,
"Harrigan, Pat [R-NC]",Republican,North Carolina,Aye,
"Harris, Andy [R-MD]",Republican,Maryland,Aye,
"Harris, Mark [R-NC]",Republican,North Carolina,Aye,
"Harshbarger, Diana [R-TN]",Republican,Tennessee,Aye,
"Hayes, Jahana [D-CT]",Democratic,Connecticut,No,
"Hern, Kevin [R-OK]",Republican,Oklahoma,Aye,
"Higgins, Clay [R-LA]",Republican,Louisiana,Aye,
"Hill, J. French [R-AR]",Republican,Arkansas,Aye,
"Himes, James A. [D-CT]",Democratic,Connecticut,No,
"Hinson, Ashley [R-IA]",Republican,Iowa,Aye,
"Horsford, Steven [D-NV]",Democratic,Nevada,No,
