Downloaded on,"5/28/2026","2:45:38 PM"
Url,"https://www.congress.gov/votes/house/116-1/676"
Result,"Failed - Yea: 201 | Nay: 223 (R 192-2 Pres=0 NV=5, D 8-221 Pres=0 NV=7, I 1-0 Pres=0 NV=0)"

Representative,Party,State,Vote
"Abraham, Ralph Lee [R-LA]",Republican,Louisiana,Aye,
"Adams, Alma S. [D-NC]",Democratic,North Carolina,No,
"Aderholt, Robert B. [R-AL]",Republican,Alabama,Aye,
"Aguilar, Pete [D-CA]",Democratic,California,No,
"Allen, Rick W. [R-GA]",Republican,Georgia,Aye,
"Allred, Colin Z. [D-TX]",Democratic,Texas,No,
"Amash, Justin [I-MI]",Independent,Michigan,Aye,
"Amodei, Mark E. [R-NV]",Republican,Nevada,Aye,
"Armstrong, Kelly [R-ND]",Republican,North Dakota,Aye,
"Arrington, Jodey C. [R-TX]",Republican,Texas,Aye,
"Axne, Cynthia [D-IA]",Democratic,Iowa,No,
"Babin, Brian [R-TX]",Republican,Texas,Aye,
"Bacon, Don [R-NE]",Republican,Nebraska,Aye,
"Baird, James R. [R-IN]",Republican,Indiana,Aye,
"Balderson, Troy [R-OH]",Republican,Ohio,Aye,
"Banks, Jim [R-IN]",Republican,Indiana,Aye,
"Barr, Andy [R-KY]",Republican,Kentucky,Aye,
"Barragan, Nanette Diaz [D-CA]",Democratic,California,No,
"Bass, Karen [D-CA]",Democratic,California,No,
"Beatty, Joyce [D-OH]",Democratic,Ohio,No,
"Bera, Ami [D-CA]",Democratic,California,No,
"Bergman, Jack [R-MI]",Republican,Michigan,Aye,
"Beyer, Donald S. [D-VA]",Democratic,Virginia,No,
"Biggs, Andy [R-AZ]",Republican,Arizona,Aye,
"Bilirakis, Gus M. [R-FL]",Republican,Florida,Aye,
"Bishop, Dan [R-NC]",Republican,North Carolina,Aye,
"Bishop, Rob [R-UT]",Republican,Utah,Aye,
"Bishop, Sanford D. [D-GA]",Democratic,Georgia,No,
"Blumenauer, Earl [D-OR]",Democratic,Oregon,No,
"Blunt Rochester, Lisa [D-DE]",Democratic,Delaware,No,
"Bonamici, Suzanne [D-OR]",Democratic,Oregon,No,
"Bost, Mike [R-IL]",Republican,Illinois,Aye,
"Boyle, Brendan F. [D-PA]",Democratic,Pennsylvania,No,
"Brady, Kevin [R-TX]",Republican,Texas,Aye,
"Brindisi, Anthony [D-NY]",Democratic,New York,Aye,
"Brooks, Mo [R-AL]",Republican,Alabama,Aye,
"Brooks, Susan W. [R-IN]",Republican,Indiana,Aye,
"Brown, Anthony G. [D-MD]",Democratic,Maryland,No,
"Brownley, Julia [D-CA]",Democratic,California,No,
"Buchanan, Vern [R-FL]",Republican,Florida,Aye,
"Buck, Ken [R-CO]",Republican,Colorado,Aye,
"Bucshon, Larry [R-IN]",Republican,Indiana,Aye,
"Budd, Ted [R-NC]",Republican,North Carolina,Aye,
"Burchett, Tim [R-TN]",Republican,Tennessee,Not Voting,
"Burgess, Michael C. [R-TX]",Republican,Texas,Aye,
"Bustos, Cheri [D-IL]",Democratic,Illinois,No,
"Butterfield, G. K. [D-NC]",Democratic,North Carolina,No,
"Byrne, Bradley [R-AL]",Republican,Alabama,Aye,
"Calvert, Ken [R-CA]",Republican,California,Aye,
"Carbajal, Salud O. [D-CA]",Democratic,California,No,
"Cárdenas, Tony [D-CA]",Democratic,California,No,
"Carson, André [D-IN]",Democratic,Indiana,No,
"Carter, Earl L. ""Buddy"" [R-GA]",Republican,Georgia,Aye,
"Carter, John R. [R-TX]",Republican,Texas,Aye,
"Cartwright, Matt [D-PA]",Democratic,Pennsylvania,No,
"Case, Ed [D-HI]",Democratic,Hawaii,No,
"Casten, Sean [D-IL]",Democratic,Illinois,No,
"Castor, Kathy [D-FL]",Democratic,Florida,No,
"Castro, Joaquin [D-TX]",Democratic,Texas,No,
"Chabot, Steve [R-OH]",Republican,Ohio,Aye,
"Cheney, Liz [R-WY]",Republican,Wyoming,Aye,
"Chu, Judy [D-CA]",Democratic,California,No,
"Cicilline, David N. [D-RI]",Democratic,Rhode Island,No,
"Cisneros, Gilbert Ray [D-CA]",Democratic,California,No,
"Clark, Katherine M. [D-MA]",Democratic,Massachusetts,No,
"Clarke, Yvette D. [D-NY]",Democratic,New York,No,
"Clay, Wm. Lacy [D-MO]",Democratic,Missouri,No,
"Cleaver, Emanuel [D-MO]",Democratic,Missouri,No,
"Cline, Ben [R-VA]",Republican,Virginia,Aye,
"Cloud, Michael [R-TX]",Republican,Texas,Aye,
"Clyburn, James E. [D-SC]",Democratic,South Carolina,No,
"Cohen, Steve [D-TN]",Democratic,Tennessee,No,
"Cole, Tom [R-OK]",Republican,Oklahoma,Aye,
"Collins, Doug [R-GA]",Republican,Georgia,Aye,
"Comer, James [R-KY]",Republican,Kentucky,Aye,
"Conaway, K. Michael [R-TX]",Republican,Texas,Aye,
"Connolly, Gerald E. [D-VA]",Democratic,Virginia,No,
"Cook, Paul [R-CA]",Republican,California,Aye,
"Cooper, Jim [D-TN]",Democratic,Tennessee,No,
"Correa, J. Luis [D-CA]",Democratic,California,No,
"Costa, Jim [D-CA]",Democratic,California,No,
"Courtney, Joe [D-CT]",Democratic,Connecticut,No,
"Cox, TJ [D-CA]",Democratic,California,No,
"Craig, Angie [D-MN]",Democratic,Minnesota,No,
"Crawford, Eric A. ""Rick"" [R-AR]",Republican,Arkansas,Aye,
"Crenshaw, Dan [R-TX]",Republican,Texas,Aye,
"Crist, Charlie [D-FL]",Democratic,Florida,No,
"Crow, Jason [D-CO]",Democratic,Colorado,No,
"Cuellar, Henry [D-TX]",Democratic,Texas,No,
"Cunningham, Joe [D-SC]",Democratic,South Carolina,No,
"Curtis, John R. [R-UT]",Republican,Utah,Aye,
