Downloaded on,"5/28/2026","2:45:40 PM"
Url,"https://www.congress.gov/votes/house/116-1/678"
Result,"Agreed to - Yea: 380 | Nay: 45 (R 156-39 Pres=0 NV=4, D 224-5 Pres=0 NV=7, I 0-1 Pres=0 NV=0)"

Representative,Party,State,Vote
"Abraham, Ralph Lee [R-LA]",Republican,Louisiana,Aye,
"Adams, Alma S. [D-NC]",Democratic,North Carolina,Aye,
"Aderholt, Robert B. [R-AL]",Republican,Alabama,No,
"Aguilar, Pete [D-CA]",Democratic,California,Aye,
"Allen, Rick W. [R-GA]",Republican,Georgia,Aye,
"Allred, Colin Z. [D-TX]",Democratic,Texas,Aye,
"Amash, Justin [I-MI]",Independent,Michigan,No,
"Amodei, Mark E. [R-NV]",Republican,Nevada,Aye,
"Armstrong, Kelly [R-ND]",Republican,North Dakota,No,
"Arrington, Jodey C. [R-TX]",Republican,Texas,Aye,
"Axne, Cynthia [D-IA]",Democratic,Iowa,Aye,
"Babin, Brian [R-TX]",Republican,Texas,No,
"Bacon, Don [R-NE]",Republican,Nebraska,Aye,
"Baird, James R. [R-IN]",Republican,Indiana,Aye,
"Balderson, Troy [R-OH]",Republican,Ohio,Aye,
"Banks, Jim [R-IN]",Republican,Indiana,Aye,
"Barr, Andy [R-KY]",Republican,Kentucky,Aye,
"Barragan, Nanette Diaz [D-CA]",Democratic,California,Aye,
"Bass, Karen [D-CA]",Democratic,California,Aye,
"Beatty, Joyce [D-OH]",Democratic,Ohio,Aye,
"Bera, Ami [D-CA]",Democratic,California,Aye,
"Bergman, Jack [R-MI]",Republican,Michigan,Aye,
"Beyer, Donald S. [D-VA]",Democratic,Virginia,Aye,
"Biggs, Andy [R-AZ]",Republican,Arizona,No,
"Bilirakis, Gus M. [R-FL]",Republican,Florida,Aye,
"Bishop, Dan [R-NC]",Republican,North Carolina,No,
"Bishop, Rob [R-UT]",Republican,Utah,No,
"Bishop, Sanford D. [D-GA]",Democratic,Georgia,Aye,
"Blumenauer, Earl [D-OR]",Democratic,Oregon,Aye,
"Blunt Rochester, Lisa [D-DE]",Democratic,Delaware,Aye,
"Bonamici, Suzanne [D-OR]",Democratic,Oregon,Aye,
"Bost, Mike [R-IL]",Republican,Illinois,Aye,
"Boyle, Brendan F. [D-PA]",Democratic,Pennsylvania,Aye,
"Brady, Kevin [R-TX]",Republican,Texas,Aye,
"Brindisi, Anthony [D-NY]",Democratic,New York,Aye,
"Brooks, Mo [R-AL]",Republican,Alabama,Aye,
"Brooks, Susan W. [R-IN]",Republican,Indiana,Aye,
"Brown, Anthony G. [D-MD]",Democratic,Maryland,Aye,
"Brownley, Julia [D-CA]",Democratic,California,Aye,
"Buchanan, Vern [R-FL]",Republican,Florida,Aye,
"Buck, Ken [R-CO]",Republican,Colorado,Aye,
"Bucshon, Larry [R-IN]",Republican,Indiana,Aye,
"Budd, Ted [R-NC]",Republican,North Carolina,Aye,
"Burchett, Tim [R-TN]",Republican,Tennessee,Not Voting,
"Burgess, Michael C. [R-TX]",Republican,Texas,Aye,
"Bustos, Cheri [D-IL]",Democratic,Illinois,Aye,
"Butterfield, G. K. [D-NC]",Democratic,North Carolina,Aye,
"Byrne, Bradley [R-AL]",Republican,Alabama,No,
"Calvert, Ken [R-CA]",Republican,California,Aye,
"Carbajal, Salud O. [D-CA]",Democratic,California,Aye,
"Cárdenas, Tony [D-CA]",Democratic,California,Not Voting,
"Carson, André [D-IN]",Democratic,Indiana,Aye,
"Carter, Earl L. ""Buddy"" [R-GA]",Republican,Georgia,Aye,
"Carter, John R. [R-TX]",Republican,Texas,No,
"Cartwright, Matt [D-PA]",Democratic,Pennsylvania,Aye,
"Case, Ed [D-HI]",Democratic,Hawaii,Aye,
"Casten, Sean [D-IL]",Democratic,Illinois,Aye,
"Castor, Kathy [D-FL]",Democratic,Florida,Aye,
