Downloaded on,"5/28/2026","2:45:45 PM"
Url,"https://www.congress.gov/votes/house/116-1/684"
Result,"Passed - Yea: 219 | Nay: 189 (R 0-186 Pres=0 NV=11, D 219-2 Pres=0 NV=11, I 0-1 Pres=0 NV=0)"

Representative,Party,State,Vote
"Abraham, Ralph Lee [R-LA]",Republican,Louisiana,Nay,
"Adams, Alma S. [D-NC]",Democratic,North Carolina,Yea,
"Aderholt, Robert B. [R-AL]",Republican,Alabama,Nay,
"Aguilar, Pete [D-CA]",Democratic,California,Yea,
"Allen, Rick W. [R-GA]",Republican,Georgia,Nay,
"Allred, Colin Z. [D-TX]",Democratic,Texas,Yea,
"Amash, Justin [I-MI]",Independent,Michigan,Nay,
"Amodei, Mark E. [R-NV]",Republican,Nevada,Nay,
"Armstrong, Kelly [R-ND]",Republican,North Dakota,Nay,
"Arrington, Jodey C. [R-TX]",Republican,Texas,Nay,
"Axne, Cynthia [D-IA]",Democratic,Iowa,Yea,
"Babin, Brian [R-TX]",Republican,Texas,Nay,
"Bacon, Don [R-NE]",Republican,Nebraska,Nay,
"Baird, James R. [R-IN]",Republican,Indiana,Nay,
"Balderson, Troy [R-OH]",Republican,Ohio,Nay,
"Banks, Jim [R-IN]",Republican,Indiana,Nay,
"Barr, Andy [R-KY]",Republican,Kentucky,Nay,
"Barragan, Nanette Diaz [D-CA]",Democratic,California,Yea,
"Bass, Karen [D-CA]",Democratic,California,Yea,
"Beatty, Joyce [D-OH]",Democratic,Ohio,Yea,
"Bera, Ami [D-CA]",Democratic,California,Yea,
"Bergman, Jack [R-MI]",Republican,Michigan,Nay,
"Beyer, Donald S. [D-VA]",Democratic,Virginia,Yea,
"Biggs, Andy [R-AZ]",Republican,Arizona,Nay,
"Bilirakis, Gus M. [R-FL]",Republican,Florida,Nay,
"Bishop, Dan [R-NC]",Republican,North Carolina,Nay,
"Bishop, Rob [R-UT]",Republican,Utah,Nay,
"Bishop, Sanford D. [D-GA]",Democratic,Georgia,Yea,
"Blumenauer, Earl [D-OR]",Democratic,Oregon,Yea,
"Blunt Rochester, Lisa [D-DE]",Democratic,Delaware,Yea,
"Bonamici, Suzanne [D-OR]",Democratic,Oregon,Yea,
"Bost, Mike [R-IL]",Republican,Illinois,Nay,
"Boyle, Brendan F. [D-PA]",Democratic,Pennsylvania,Yea,
"Brady, Kevin [R-TX]",Republican,Texas,Nay,
"Brindisi, Anthony [D-NY]",Democratic,New York,Yea,
"Brooks, Mo [R-AL]",Republican,Alabama,Nay,
"Brooks, Susan W. [R-IN]",Republican,Indiana,Nay,
"Brown, Anthony G. [D-MD]",Democratic,Maryland,Yea,
"Brownley, Julia [D-CA]",Democratic,California,Yea,
"Buchanan, Vern [R-FL]",Republican,Florida,Nay,
"Buck, Ken [R-CO]",Republican,Colorado,Nay,
"Bucshon, Larry [R-IN]",Republican,Indiana,Nay,
"Budd, Ted [R-NC]",Republican,North Carolina,Nay,
"Burchett, Tim [R-TN]",Republican,Tennessee,Nay,
"Burgess, Michael C. [R-TX]",Republican,Texas,Nay,
"Bustos, Cheri [D-IL]",Democratic,Illinois,Yea,
"Butterfield, G. K. [D-NC]",Democratic,North Carolina,Yea,
"Byrne, Bradley [R-AL]",Republican,Alabama,Nay,
"Calvert, Ken [R-CA]",Republican,California,Nay,
"Carbajal, Salud O. [D-CA]",Democratic,California,Yea,
"Cárdenas, Tony [D-CA]",Democratic,California,Yea,
"Carson, André [D-IN]",Democratic,Indiana,Yea,
"Carter, Earl L. ""Buddy"" [R-GA]",Republican,Georgia,Nay,
"Carter, John R. [R-TX]",Republican,Texas,Nay,
"Cartwright, Matt [D-PA]",Democratic,Pennsylvania,Yea,
"Case, Ed [D-HI]",Democratic,Hawaii,Yea,
"Casten, Sean [D-IL]",Democratic,Illinois,Yea,
"Castor, Kathy [D-FL]",Democratic,Florida,Yea,
"Castro, Joaquin [D-TX]",Democratic,Texas,Yea,
"Chabot, Steve [R-OH]",Republican,Ohio,Nay,
"Cheney, Liz [R-WY]",Republican,Wyoming,Nay,
"Chu, Judy [D-CA]",Democratic,California,Yea,
"Cicilline, David N. [D-RI]",Democratic,Rhode Island,Yea,
"Cisneros, Gilbert Ray [D-CA]",Democratic,California,Yea,
"Clark, Katherine M. [D-MA]",Democratic,Massachusetts,Yea,
"Clarke, Yvette D. [D-NY]",Democratic,New York,Yea,
"Clay, Wm. Lacy [D-MO]",Democratic,Missouri,Not Voting,
"Cleaver, Emanuel [D-MO]",Democratic,Missouri,Yea,
"Cline, Ben [R-VA]",Republican,Virginia,Nay,
"Cloud, Michael [R-TX]",Republican,Texas,Nay,
"Clyburn, James E. [D-SC]",Democratic,South Carolina,Yea,
"Cohen, Steve [D-TN]",Democratic,Tennessee,Yea,
"Cole, Tom [R-OK]",Republican,Oklahoma,Nay,
"Collins, Doug [R-GA]",Republican,Georgia,Nay,
"Comer, James [R-KY]",Republican,Kentucky,Nay,
"Conaway, K. Michael [R-TX]",Republican,Texas,Nay,
"Connolly, Gerald E. [D-VA]",Democratic,Virginia,Yea,
"Cook, Paul [R-CA]",Republican,California,Nay,
"Cooper, Jim [D-TN]",Democratic,Tennessee,Yea,
"Correa, J. Luis [D-CA]",Democratic,California,Yea,
"Costa, Jim [D-CA]",Democratic,California,Yea,
"Courtney, Joe [D-CT]",Democratic,Connecticut,Yea,
"Cox, TJ [D-CA]",Democratic,California,Yea,
"Craig, Angie [D-MN]",Democratic,Minnesota,Yea,
"Crawford, Eric A. ""Rick"" [R-AR]",Republican,Arkansas,Nay,
"Crenshaw, Dan [R-TX]",Republican,Texas,Nay,
"Crist, Charlie [D-FL]",Democratic,Florida,Yea,
"Crow, Jason [D-CO]",Democratic,Colorado,Yea,
"Cuellar, Henry [D-TX]",Democratic,Texas,Yea,
"Cunningham, Joe [D-SC]",Democratic,South Carolina,Yea,
"Curtis, John R. [R-UT]",Republican,Utah,Nay,
"Davids, Sharice [D-KS]",Democratic,Kansas,Yea,
"Davidson, Warren [R-OH]",Republican,Ohio,Nay,
"Davis, Danny K. [D-IL]",Democratic,Illinois,Yea,
"Davis, Rodney [R-IL]",Republican,Illinois,Nay,
"Davis, Susan A. [D-CA]",Democratic,California,Yea,
"Dean, Madeleine [D-PA]",Democratic,Pennsylvania,Yea,
"DeFazio, Peter A. [D-OR]",Democratic,Oregon,Yea,
"DeGette, Diana [D-CO]",Democratic,Colorado,Yea,
"DeLauro, Rosa L. [D-CT]",Democratic,Connecticut,Yea,
"DelBene, Suzan K. [D-WA]",Democratic,Washington,Yea,
"Delgado, Antonio [D-NY]",Democratic,New York,Yea,
"Demings, Val Butler [D-FL]",Democratic,Florida,Yea,
"DeSaulnier, Mark [D-CA]",Democratic,California,Yea,
"DesJarlais, Scott [R-TN]",Republican,Tennessee,Nay,
"Deutch, Theodore E. [D-FL]",Democratic,Florida,Yea,
"Diaz-Balart, Mario [R-FL]",Republican,Florida,Nay,
"Dingell, Debbie [D-MI]",Democratic,Michigan,Yea,
"Doggett, Lloyd [D-TX]",Democratic,Texas,Yea,
"Doyle, Michael F. [D-PA]",Democratic,Pennsylvania,Yea,
"Duncan, Jeff [R-SC]",Republican,South Carolina,Nay,
"Dunn, Neal P. [R-FL]",Republican,Florida,Nay,
"Emmer, Tom [R-MN]",Republican,Minnesota,Nay,
"Engel, Eliot L. [D-NY]",Democratic,New York,Yea,
"Escobar, Veronica [D-TX]",Democratic,Texas,Yea,
"Eshoo, Anna G. [D-CA]",Democratic,California,Yea,
"Espaillat, Adriano [D-NY]",Democratic,New York,Yea,
"Estes, Ron [R-KS]",Republican,Kansas,Nay,
"Evans, Dwight [D-PA]",Democratic,Pennsylvania,Yea,
"Ferguson, A. Drew [R-GA]",Republican,Georgia,Nay,
"Finkenauer, Abby [D-IA]",Democratic,Iowa,Yea,
"Fitzpatrick, Brian K. [R-PA]",Republican,Pennsylvania,Nay,
"Fleischmann, Charles J. ""Chuck"" [R-TN]",Republican,Tennessee,Nay,
"Fletcher, Lizzie [D-TX]",Democratic,Texas,Yea,
"Flores, Bill [R-TX]",Republican,Texas,Not Voting,
"Fortenberry, Jeff [R-NE]",Republican,Nebraska,Nay,
"Foster, Bill [D-IL]",Democratic,Illinois,Yea,
"Foxx, Virginia [R-NC]",Republican,North Carolina,Nay,
"Frankel, Lois [D-FL]",Democratic,Florida,Yea,
"Fudge, Marcia L. [D-OH]",Democratic,Ohio,Yea,
"Fulcher, Russ [R-ID]",Republican,Idaho,Nay,
"Gabbard, Tulsi [D-HI]",Democratic,Hawaii,Not Voting,
"Gaetz, Matt [R-FL]",Republican,Florida,Nay,
"Gallagher, Mike [R-WI]",Republican,Wisconsin,Nay,
"Gallego, Ruben [D-AZ]",Democratic,Arizona,Yea,
"Garamendi, John [D-CA]",Democratic,California,Yea,
"Garcia, Jesus G. ""Chuy"" [D-IL]",Democratic,Illinois,Yea,
"Garcia, Sylvia R. [D-TX]",Democratic,Texas,Yea,
"Gianforte, Greg [R-MT]",Republican,Montana,Nay,
"Gibbs, Bob [R-OH]",Republican,Ohio,Nay,
"Gohmert, Louie [R-TX]",Republican,Texas,Nay,
"Golden, Jared F. [D-ME]",Democratic,Maine,Yea,
"Gomez, Jimmy [D-CA]",Democratic,California,Yea,
"Gonzalez, Anthony [R-OH]",Republican,Ohio,Nay,
"Gonzalez, Vicente [D-TX]",Democratic,Texas,Yea,
"Gooden, Lance [R-TX]",Republican,Texas,Nay,
"Gosar, Paul A. [R-AZ]",Republican,Arizona,Nay,
"Gottheimer, Josh [D-NJ]",Democratic,New Jersey,Yea,
"Granger, Kay [R-TX]",Republican,Texas,Nay,
"Graves, Garret [R-LA]",Republican,Louisiana,Nay,
"Graves, Sam [R-MO]",Republican,Missouri,Nay,
"Graves, Tom [R-GA]",Republican,Georgia,Nay,
"Green, Al [D-TX]",Democratic,Texas,Yea,
"Green, Mark E. [R-TN]",Republican,Tennessee,Nay,
"Griffith, H. Morgan [R-VA]",Republican,Virginia,Nay,
"Grijalva, Raúl M. [D-AZ]",Democratic,Arizona,Yea,
"Grothman, Glenn [R-WI]",Republican,Wisconsin,Nay,
"Guest, Michael [R-MS]",Republican,Mississippi,Nay,
"Guthrie, Brett [R-KY]",Republican,Kentucky,Nay,
"Haaland, Debra A. [D-NM]",Democratic,New Mexico,Yea,
"Hagedorn, Jim [R-MN]",Republican,Minnesota,Nay,
"Harder, Josh [D-CA]",Democratic,California,Yea,
"Harris, Andy [R-MD]",Republican,Maryland,Nay,
"Hartzler, Vicky [R-MO]",Republican,Missouri,Nay,
"Hastings, Alcee L. [D-FL]",Democratic,Florida,Yea,
"Hayes, Jahana [D-CT]",Democratic,Connecticut,Yea,
"Heck, Denny [D-WA]",Democratic,Washington,Yea,
"Hern, Kevin [R-OK]",Republican,Oklahoma,Nay,
"Herrera Beutler, Jaime [R-WA]",Republican,Washington,Nay,
"Hice, Jody B. [R-GA]",Republican,Georgia,Nay,
"Higgins, Brian [D-NY]",Democratic,New York,Yea,
"Higgins, Clay [R-LA]",Republican,Louisiana,Nay,
"Hill, J. French [R-AR]",Republican,Arkansas,Nay,
"Himes, James A. [D-CT]",Democratic,Connecticut,Yea,
"Holding, George [R-NC]",Republican,North Carolina,Nay,
"Hollingsworth, Trey [R-IN]",Republican,Indiana,Not Voting,
"Horn, Kendra S. [D-OK]",Democratic,Oklahoma,Yea,
"Horsford, Steven [D-NV]",Democratic,Nevada,Yea,
"Houlahan, Chrissy [D-PA]",Democratic,Pennsylvania,Yea,
"Hoyer, Steny H. [D-MD]",Democratic,Maryland,Yea,
"Hudson, Richard [R-NC]",Republican,North Carolina,Nay,
"Huffman, Jared [D-CA]",Democratic,California,Yea,
"Huizenga, Bill [R-MI]",Republican,Michigan,Nay,
"Hunter, Duncan D. [R-CA]",Republican,California,Not Voting,
"Hurd, Will [R-TX]",Republican,Texas,Nay,
"Jackson Lee, Sheila [D-TX]",Democratic,Texas,Yea,
"Jayapal, Pramila [D-WA]",Democratic,Washington,Yea,
"Jeffries, Hakeem S. [D-NY]",Democratic,New York,Yea,
"Johnson, Bill [R-OH]",Republican,Ohio,Nay,
"Johnson, Dusty [R-SD]",Republican,South Dakota,Nay,
"Johnson, Eddie Bernice [D-TX]",Democratic,Texas,Not Voting,
"Johnson, Henry C. ""Hank,"" Jr. [D-GA]",Democratic,Georgia,Yea,
"Johnson, Mike [R-LA]",Republican,Louisiana,Not Voting,
"Jordan, Jim [R-OH]",Republican,Ohio,Not Voting,
"Joyce, David P. [R-OH]",Republican,Ohio,Nay,
