Downloaded on,"5/28/2026","3:03:14 PM"
Url,"https://www.congress.gov/votes/house/119-2/163"
Result,"Failed - Yea: 112 | Nay: 309 (R 34-179 Pres=0 NV=4, D 78-129 Pres=0 NV=5, I 0-1 Pres=0 NV=0)"

Representative,Party,State,Vote
"Adams, Alma S. [D-NC]",Democratic,North Carolina,Nay,
"Aderholt, Robert B. [R-AL]",Republican,Alabama,Nay,
"Aguilar, Pete [D-CA]",Democratic,California,Nay,
"Alford, Mark [R-MO]",Republican,Missouri,Nay,
"Allen, Rick W. [R-GA]",Republican,Georgia,Nay,
"Amo, Gabe [D-RI]",Democratic,Rhode Island,Nay,
"Amodei, Mark E. [R-NV]",Republican,Nevada,Nay,
"Ansari, Yassamin [D-AZ]",Democratic,Arizona,Yea,
"Arrington, Jodey C. [R-TX]",Republican,Texas,Nay,
"Auchincloss, Jake [D-MA]",Democratic,Massachusetts,Nay,
"Babin, Brian [R-TX]",Republican,Texas,Nay,
"Bacon, Don [R-NE]",Republican,Nebraska,Nay,
"Baird, James R. [R-IN]",Republican,Indiana,Nay,
"Balderson, Troy [R-OH]",Republican,Ohio,Nay,
"Balint, Becca [D-VT]",Democratic,Vermont,Yea,
"Barr, Andy [R-KY]",Republican,Kentucky,Nay,
"Barragán, Nanette Diaz [D-CA]",Democratic,California,Nay,
"Barrett, Tom [R-MI]",Republican,Michigan,Nay,
"Baumgartner, Michael [R-WA]",Republican,Washington,Nay,
"Bean, Aaron [R-FL]",Republican,Florida,Nay,
"Beatty, Joyce [D-OH]",Democratic,Ohio,Nay,
"Begich, Nicholas J. [R-AK]",Republican,Alaska,Nay,
"Bell, Wesley [D-MO]",Democratic,Missouri,Nay,
"Bentz, Cliff [R-OR]",Republican,Oregon,Nay,
"Bera, Ami [D-CA]",Democratic,California,Nay,
"Bergman, Jack [R-MI]",Republican,Michigan,Nay,
"Beyer, Donald S. [D-VA]",Democratic,Virginia,Yea,
"Bice, Stephanie I. [R-OK]",Republican,Oklahoma,Nay,
"Biggs, Andy [R-AZ]",Republican,Arizona,Yea,
"Biggs, Sheri [R-SC]",Republican,South Carolina,Yea,
"Bilirakis, Gus M. [R-FL]",Republican,Florida,Nay,
"Bishop, Sanford D. [D-GA]",Democratic,Georgia,Nay,
"Boebert, Lauren [R-CO]",Republican,Colorado,Yea,
"Bonamici, Suzanne [D-OR]",Democratic,Oregon,Nay,
"Bost, Mike [R-IL]",Republican,Illinois,Nay,
"Boyle, Brendan F. [D-PA]",Democratic,Pennsylvania,Nay,
"Brecheen, Josh [R-OK]",Republican,Oklahoma,Yea,
"Bresnahan, Robert P. [R-PA]",Republican,Pennsylvania,Nay,
"Brown, Shontel M. [D-OH]",Democratic,Ohio,Nay,
"Brownley, Julia [D-CA]",Democratic,California,Nay,
"Buchanan, Vern [R-FL]",Republican,Florida,Nay,
"Budzinski, Nikki [D-IL]",Democratic,Illinois,Nay,
"Burchett, Tim [R-TN]",Republican,Tennessee,Yea,
"Burlison, Eric [R-MO]",Republican,Missouri,Yea,
"Bynum, Janelle S. [D-OR]",Democratic,Oregon,Nay,
"Calvert, Ken [R-CA]",Republican,California,Nay,
"Cammack, Kat [R-FL]",Republican,Florida,Yea,
"Carbajal, Salud O. [D-CA]",Democratic,California,Nay,
"Carey, Mike [R-OH]",Republican,Ohio,Nay,
"Carson, André [D-IN]",Democratic,Indiana,Nay,
"Carter, Earl L. ""Buddy"" [R-GA]",Republican,Georgia,Nay,
"Carter, John R. [R-TX]",Republican,Texas,Nay,
"Carter, Troy A. [D-LA]",Democratic,Louisiana,Nay,
"Casar, Greg [D-TX]",Democratic,Texas,Yea,
"Case, Ed [D-HI]",Democratic,Hawaii,Nay,
"Casten, Sean [D-IL]",Democratic,Illinois,Nay,
"Castor, Kathy [D-FL]",Democratic,Florida,Nay,
"Castro, Joaquin [D-TX]",Democratic,Texas,Yea,
"Chu, Judy [D-CA]",Democratic,California,Nay,
"Ciscomani, Juan [R-AZ]",Republican,Arizona,Nay,
"Cisneros, Gilbert Ray [D-CA]",Democratic,California,Yea,
"Clark, Katherine M. [D-MA]",Democratic,Massachusetts,Nay,
"Clarke, Yvette D. [D-NY]",Democratic,New York,Yea,
"Cleaver, Emanuel [D-MO]",Democratic,Missouri,Nay,
"Cline, Ben [R-VA]",Republican,Virginia,Yea,
"Cloud, Michael [R-TX]",Republican,Texas,Yea,
"Clyburn, James E. [D-SC]",Democratic,South Carolina,Nay,
"Clyde, Andrew S. [R-GA]",Republican,Georgia,Yea,
"Cohen, Steve [D-TN]",Democratic,Tennessee,Nay,
"Cole, Tom [R-OK]",Republican,Oklahoma,Nay,
"Collins, Mike [R-GA]",Republican,Georgia,Nay,
"Comer, James [R-KY]",Republican,Kentucky,Nay,
"Conaway, Herbert C. [D-NJ]",Democratic,New Jersey,Yea,
"Correa, J. Luis [D-CA]",Democratic,California,Nay,
"Costa, Jim [D-CA]",Democratic,California,Nay,
"Courtney, Joe [D-CT]",Democratic,Connecticut,Yea,
"Craig, Angie [D-MN]",Democratic,Minnesota,Nay,
"Crane, Elijah [R-AZ]",Republican,Arizona,Yea,
"Crank, Jeff [R-CO]",Republican,Colorado,Nay,
"Crawford, Eric A. ""Rick"" [R-AR]",Republican,Arkansas,Nay,
"Crenshaw, Dan [R-TX]",Republican,Texas,Nay,
"Crockett, Jasmine [D-TX]",Democratic,Texas,Not Voting,
"Crow, Jason [D-CO]",Democratic,Colorado,Yea,
"Cuellar, Henry [D-TX]",Democratic,Texas,Nay,
"Davids, Sharice [D-KS]",Democratic,Kansas,Nay,
"Davidson, Warren [R-OH]",Republican,Ohio,Nay,
"Davis, Danny K. [D-IL]",Democratic,Illinois,Nay,
"Davis, Donald G. [D-NC]",Democratic,North Carolina,Nay,
"De La Cruz, Monica [R-TX]",Republican,Texas,Nay,
"Dean, Madeleine [D-PA]",Democratic,Pennsylvania,Nay,
"DeGette, Diana [D-CO]",Democratic,Colorado,Yea,
"DeLauro, Rosa L. [D-CT]",Democratic,Connecticut,Yea,
"DelBene, Suzan K. [D-WA]",Democratic,Washington,Nay,
"Deluzio, Christopher R. [D-PA]",Democratic,Pennsylvania,Yea,
"DeSaulnier, Mark [D-CA]",Democratic,California,Yea,
"DesJarlais, Scott [R-TN]",Republican,Tennessee,Nay,
"Dexter, Maxine [D-OR]",Democratic,Oregon,Yea,
"Diaz-Balart, Mario [R-FL]",Republican,Florida,Nay,
"Dingell, Debbie [D-MI]",Democratic,Michigan,Yea,
"Doggett, Lloyd [D-TX]",Democratic,Texas,Yea,
"Donalds, Byron [R-FL]",Republican,Florida,Yea,
"Downing, Troy [R-MT]",Republican,Montana,Yea,
"Dunn, Neal P. [R-FL]",Republican,Florida,Not Voting,
"Edwards, Chuck [R-NC]",Republican,North Carolina,Nay,
"Elfreth, Sarah [D-MD]",Democratic,Maryland,Yea,
"Ellzey, Jake [R-TX]",Republican,Texas,Nay,
"Emmer, Tom [R-MN]",Republican,Minnesota,Nay,
"Escobar, Veronica [D-TX]",Democratic,Texas,Nay,
"Espaillat, Adriano [D-NY]",Democratic,New York,Yea,
"Estes, Ron [R-KS]",Republican,Kansas,Nay,
"Evans, Dwight [D-PA]",Democratic,Pennsylvania,Nay,
"Evans, Gabe [R-CO]",Republican,Colorado,Nay,
"Ezell, Mike [R-MS]",Republican,Mississippi,Nay,
"Fallon, Pat [R-TX]",Republican,Texas,Nay,
"Fedorchak, Julie [R-ND]",Republican,North Dakota,Nay,
"Feenstra, Randy [R-IA]",Republican,Iowa,Nay,
"Fields, Cleo [D-LA]",Democratic,Louisiana,Yea,
"Figures, Shomari [D-AL]",Democratic,Alabama,Nay,
"Fine, Randy [R-FL]",Republican,Florida,Yea,
"Finstad, Brad [R-MN]",Republican,Minnesota,Nay,
"Fischbach, Michelle [R-MN]",Republican,Minnesota,Nay,
"Fitzgerald, Scott [R-WI]",Republican,Wisconsin,Nay,
"Fitzpatrick, Brian K. [R-PA]",Republican,Pennsylvania,Nay,
"Fleischmann, Charles J. ""Chuck"" [R-TN]",Republican,Tennessee,Nay,
"Fletcher, Lizzie [D-TX]",Democratic,Texas,Yea,
"Flood, Mike [R-NE]",Republican,Nebraska,Nay,
"Fong, Vince [R-CA]",Republican,California,Nay,
"Foster, Bill [D-IL]",Democratic,Illinois,Nay,
"Foushee, Valerie P. [D-NC]",Democratic,North Carolina,Nay,
"Foxx, Virginia [R-NC]",Republican,North Carolina,Nay,
"Frankel, Lois [D-FL]",Democratic,Florida,Nay,
"Franklin, Scott [R-FL]",Republican,Florida,Nay,
"Friedman, Laura [D-CA]",Democratic,California,Yea,
"Frost, Maxwell [D-FL]",Democratic,Florida,Yea,
"Fry, Russell [R-SC]",Republican,South Carolina,Yea,
"Fulcher, Russ [R-ID]",Republican,Idaho,Yea,
"Fuller, Clay [R-GA]",Republican,Georgia,Nay,
"Garamendi, John [D-CA]",Democratic,California,Yea,
"Garbarino, Andrew R. [R-NY]",Republican,New York,Nay,
"García, Jesús G. ""Chuy"" [D-IL]",Democratic,Illinois,Nay,
"Garcia, Robert [D-CA]",Democratic,California,Yea,
