Downloaded on,"5/28/2026","2:37:51 PM"
Url,"https://www.congress.gov/votes/house/118-1/681"
Result,"Agreed to - Yea: 422 | Nay: 1 (R 214-1 Pres=1 NV=8, D 208-0 Pres=0 NV=8, I 0-0 Pres=0 NV=0)"

Representative,Party,State,Vote
"Adams, Alma S. [D-NC]",Democratic,North Carolina,Aye,
"Aderholt, Robert B. [R-AL]",Republican,Alabama,Aye,
"Aguilar, Pete [D-CA]",Democratic,California,Aye,
"Alford, Mark [R-MO]",Republican,Missouri,Aye,
"Allen, Rick W. [R-GA]",Republican,Georgia,Aye,
"Allred, Colin Z. [D-TX]",Democratic,Texas,Aye,
"Amo, Gabe [D-RI]",Democratic,Rhode Island,Aye,
"Amodei, Mark E. [R-NV]",Republican,Nevada,Aye,
"Armstrong, Kelly [R-ND]",Republican,North Dakota,Aye,
"Arrington, Jodey C. [R-TX]",Republican,Texas,Aye,
"Auchincloss, Jake [D-MA]",Democratic,Massachusetts,Aye,
"Babin, Brian [R-TX]",Republican,Texas,Aye,
"Bacon, Don [R-NE]",Republican,Nebraska,Aye,
"Baird, James R. [R-IN]",Republican,Indiana,Aye,
"Balderson, Troy [R-OH]",Republican,Ohio,Aye,
"Balint, Becca [D-VT]",Democratic,Vermont,Aye,
"Banks, Jim [R-IN]",Republican,Indiana,Aye,
"Barr, Andy [R-KY]",Republican,Kentucky,Not Voting,
"Barragan, Nanette Diaz [D-CA]",Democratic,California,Aye,
"Bean, Aaron [R-FL]",Republican,Florida,Aye,
"Beatty, Joyce [D-OH]",Democratic,Ohio,Aye,
"Bentz, Cliff [R-OR]",Republican,Oregon,Aye,
"Bera, Ami [D-CA]",Democratic,California,Aye,
"Bergman, Jack [R-MI]",Republican,Michigan,Aye,
"Beyer, Donald S. [D-VA]",Democratic,Virginia,Aye,
"Bice, Stephanie I. [R-OK]",Republican,Oklahoma,Aye,
"Biggs, Andy [R-AZ]",Republican,Arizona,Aye,
"Bilirakis, Gus M. [R-FL]",Republican,Florida,Aye,
"Bishop, Dan [R-NC]",Republican,North Carolina,Aye,
"Bishop, Sanford D. [D-GA]",Democratic,Georgia,Aye,
"Blumenauer, Earl [D-OR]",Democratic,Oregon,Aye,
"Blunt Rochester, Lisa [D-DE]",Democratic,Delaware,Aye,
"Boebert, Lauren [R-CO]",Republican,Colorado,Aye,
