Downloaded on,"5/28/2026","1:58:10 PM"
Url,"https://www.congress.gov/votes/house/118-1/722"
Result,"Failed - Yea: 23 | Nay: 307 (R 23-140 Pres=0 NV=57, D 0-167 Pres=0 NV=46, I 0-0 Pres=0 NV=0)"

Representative,Party,State,Vote
"Adams, Alma S. [D-NC]",Democratic,North Carolina,Nay,
"Aderholt, Robert B. [R-AL]",Republican,Alabama,Nay,
"Aguilar, Pete [D-CA]",Democratic,California,Nay,
"Alford, Mark [R-MO]",Republican,Missouri,Nay,
"Allen, Rick W. [R-GA]",Republican,Georgia,Nay,
"Allred, Colin Z. [D-TX]",Democratic,Texas,Not Voting,
"Amo, Gabe [D-RI]",Democratic,Rhode Island,Nay,
"Amodei, Mark E. [R-NV]",Republican,Nevada,Nay,
"Armstrong, Kelly [R-ND]",Republican,North Dakota,Nay,
"Arrington, Jodey C. [R-TX]",Republican,Texas,Nay,
"Auchincloss, Jake [D-MA]",Democratic,Massachusetts,Not Voting,
"Babin, Brian [R-TX]",Republican,Texas,Not Voting,
"Bacon, Don [R-NE]",Republican,Nebraska,Nay,
"Baird, James R. [R-IN]",Republican,Indiana,Nay,
"Balderson, Troy [R-OH]",Republican,Ohio,Nay,
"Balint, Becca [D-VT]",Democratic,Vermont,Nay,
"Banks, Jim [R-IN]",Republican,Indiana,Not Voting,
"Barr, Andy [R-KY]",Republican,Kentucky,Not Voting,
"Barragan, Nanette Diaz [D-CA]",Democratic,California,Nay,
"Bean, Aaron [R-FL]",Republican,Florida,Nay,
"Beatty, Joyce [D-OH]",Democratic,Ohio,Nay,
"Bentz, Cliff [R-OR]",Republican,Oregon,Nay,
"Bera, Ami [D-CA]",Democratic,California,Nay,
"Bergman, Jack [R-MI]",Republican,Michigan,Nay,
"Beyer, Donald S. [D-VA]",Democratic,Virginia,Not Voting,
"Bice, Stephanie I. [R-OK]",Republican,Oklahoma,Nay,
"Biggs, Andy [R-AZ]",Republican,Arizona,Yea,
"Bilirakis, Gus M. [R-FL]",Republican,Florida,Not Voting,
"Bishop, Dan [R-NC]",Republican,North Carolina,Yea,
"Bishop, Sanford D. [D-GA]",Democratic,Georgia,Nay,
"Blumenauer, Earl [D-OR]",Democratic,Oregon,Nay,
"Blunt Rochester, Lisa [D-DE]",Democratic,Delaware,Nay,
"Boebert, Lauren [R-CO]",Republican,Colorado,Nay,
"Bonamici, Suzanne [D-OR]",Democratic,Oregon,Not Voting,
"Bost, Mike [R-IL]",Republican,Illinois,Nay,
"Bowman, Jamaal [D-NY]",Democratic,New York,Nay,
"Boyle, Brendan F. [D-PA]",Democratic,Pennsylvania,Nay,
"Brecheen, Josh [R-OK]",Republican,Oklahoma,Not Voting,
"Brown, Shontel M. [D-OH]",Democratic,Ohio,Not Voting,
"Brownley, Julia [D-CA]",Democratic,California,Nay,
"Buchanan, Vern [R-FL]",Republican,Florida,Nay,
"Buck, Ken [R-CO]",Republican,Colorado,Not Voting,
"Bucshon, Larry [R-IN]",Republican,Indiana,Nay,
"Budzinski, Nikki [D-IL]",Democratic,Illinois,Nay,
"Burchett, Tim [R-TN]",Republican,Tennessee,Yea,
"Burgess, Michael C. [R-TX]",Republican,Texas,Nay,
"Burlison, Eric [R-MO]",Republican,Missouri,Yea,
"Bush, Cori [D-MO]",Democratic,Missouri,Nay,
"Calvert, Ken [R-CA]",Republican,California,Nay,
"Cammack, Kat [R-FL]",Republican,Florida,Not Voting,
"Caraveo, Yadira [D-CO]",Democratic,Colorado,Nay,
"Carbajal, Salud O. [D-CA]",Democratic,California,Nay,
"Cárdenas, Tony [D-CA]",Democratic,California,Not Voting,
"Carey, Mike [R-OH]",Republican,Ohio,Nay,
"Carl, Jerry L. [R-AL]",Republican,Alabama,Nay,
"Carson, André [D-IN]",Democratic,Indiana,Nay,
"Carter, Earl L. ""Buddy"" [R-GA]",Republican,Georgia,Nay,
"Carter, John R. [R-TX]",Republican,Texas,Nay,
"Carter, Troy [D-LA]",Democratic,Louisiana,Nay,
"Cartwright, Matt [D-PA]",Democratic,Pennsylvania,Nay,
"Casar, Greg [D-TX]",Democratic,Texas,Nay,
"Case, Ed [D-HI]",Democratic,Hawaii,Nay,
"Casten, Sean [D-IL]",Democratic,Illinois,Nay,
"Castor, Kathy [D-FL]",Democratic,Florida,Nay,
"Castro, Joaquin [D-TX]",Democratic,Texas,Nay,
"Chavez-DeRemer, Lori [R-OR]",Republican,Oregon,Nay,
"Cherfilus-McCormick, Sheila [D-FL]",Democratic,Florida,Nay,
"Chu, Judy [D-CA]",Democratic,California,Nay,
"Ciscomani, Juan [R-AZ]",Republican,Arizona,Nay,
"Clark, Katherine M. [D-MA]",Democratic,Massachusetts,Nay,
"Clarke, Yvette D. [D-NY]",Democratic,New York,Nay,
"Cleaver, Emanuel [D-MO]",Democratic,Missouri,Not Voting,
"Cline, Ben [R-VA]",Republican,Virginia,Not Voting,
"Cloud, Michael [R-TX]",Republican,Texas,Yea,
"Clyburn, James E. [D-SC]",Democratic,South Carolina,Not Voting,
"Clyde, Andrew S. [R-GA]",Republican,Georgia,Yea,
"Cohen, Steve [D-TN]",Democratic,Tennessee,Not Voting,
"Cole, Tom [R-OK]",Republican,Oklahoma,Nay,
"Collins, Mike [R-GA]",Republican,Georgia,Nay,
"Comer, James [R-KY]",Republican,Kentucky,Nay,
"Connolly, Gerald E. [D-VA]",Democratic,Virginia,Nay,
"Correa, J. Luis [D-CA]",Democratic,California,Nay,
"Costa, Jim [D-CA]",Democratic,California,Nay,
"Courtney, Joe [D-CT]",Democratic,Connecticut,Nay,
"Craig, Angie [D-MN]",Democratic,Minnesota,Nay,
"Crane, Elijah [R-AZ]",Republican,Arizona,Yea,
"Crawford, Eric A. ""Rick"" [R-AR]",Republican,Arkansas,Nay,
"Crenshaw, Dan [R-TX]",Republican,Texas,Not Voting,
"Crockett, Jasmine [D-TX]",Democratic,Texas,Not Voting,
"Crow, Jason [D-CO]",Democratic,Colorado,Not Voting,
"Cuellar, Henry [D-TX]",Democratic,Texas,Nay,
"Curtis, John R. [R-UT]",Republican,Utah,Nay,
"D'Esposito, Anthony [R-NY]",Republican,New York,Nay,
"Davids, Sharice [D-KS]",Democratic,Kansas,Not Voting,
"Davidson, Warren [R-OH]",Republican,Ohio,Not Voting,
"Davis, Danny K. [D-IL]",Democratic,Illinois,Nay,
"Davis, Donald G. [D-NC]",Democratic,North Carolina,Not Voting,
"De La Cruz, Monica [R-TX]",Republican,Texas,Nay,
"Dean, Madeleine [D-PA]",Democratic,Pennsylvania,Nay,
"DeGette, Diana [D-CO]",Democratic,Colorado,Nay,
"DeLauro, Rosa L. [D-CT]",Democratic,Connecticut,Not Voting,
"DelBene, Suzan K. [D-WA]",Democratic,Washington,Nay,
"Deluzio, Christopher R. [D-PA]",Democratic,Pennsylvania,Nay,
"DeSaulnier, Mark [D-CA]",Democratic,California,Nay,
"DesJarlais, Scott [R-TN]",Republican,Tennessee,Nay,
"Diaz-Balart, Mario [R-FL]",Republican,Florida,Not Voting,
"Dingell, Debbie [D-MI]",Democratic,Michigan,Nay,
"Doggett, Lloyd [D-TX]",Democratic,Texas,Nay,
"Donalds, Byron [R-FL]",Republican,Florida,Not Voting,
"Duarte, John S. [R-CA]",Republican,California,Not Voting,
"Duncan, Jeff [R-SC]",Republican,South Carolina,Not Voting,
"Dunn, Neal P. [R-FL]",Republican,Florida,Nay,
"Edwards, Chuck [R-NC]",Republican,North Carolina,Nay,
"Ellzey, Jake [R-TX]",Republican,Texas,Nay,
"Emmer, Tom [R-MN]",Republican,Minnesota,Nay,
"Escobar, Veronica [D-TX]",Democratic,Texas,Nay,
"Eshoo, Anna G. [D-CA]",Democratic,California,Not Voting,
"Espaillat, Adriano [D-NY]",Democratic,New York,Nay,
"Estes, Ron [R-KS]",Republican,Kansas,Nay,
"Evans, Dwight [D-PA]",Democratic,Pennsylvania,Nay,
"Ezell, Mike [R-MS]",Republican,Mississippi,Nay,
"Fallon, Pat [R-TX]",Republican,Texas,Nay,
"Feenstra, Randy [R-IA]",Republican,Iowa,Not Voting,
"Ferguson, A. Drew [R-GA]",Republican,Georgia,Nay,
"Finstad, Brad [R-MN]",Republican,Minnesota,Nay,
"Fischbach, Michelle [R-MN]",Republican,Minnesota,Nay,
"Fitzgerald, Scott [R-WI]",Republican,Wisconsin,Nay,
"Fitzpatrick, Brian K. [R-PA]",Republican,Pennsylvania,Nay,
"Fleischmann, Charles J. ""Chuck"" [R-TN]",Republican,Tennessee,Nay,
"Fletcher, Lizzie [D-TX]",Democratic,Texas,Nay,
"Flood, Mike [R-NE]",Republican,Nebraska,Not Voting,
"Foster, Bill [D-IL]",Democratic,Illinois,Nay,
"Foushee, Valerie P. [D-NC]",Democratic,North Carolina,Nay,
"Foxx, Virginia [R-NC]",Republican,North Carolina,Not Voting,
"Frankel, Lois [D-FL]",Democratic,Florida,Nay,
"Franklin, Scott [R-FL]",Republican,Florida,Not Voting,
"Frost, Maxwell [D-FL]",Democratic,Florida,Nay,
"Fry, Russell [R-SC]",Republican,South Carolina,Yea,
