Downloaded on,"5/28/2026","2:58:23 PM"
Url,"https://www.congress.gov/votes/house/118-2/504"
Result,"Passed - Yea: 382 | Nay: 12 (R 187-12 Pres=0 NV=19, D 195-0 Pres=0 NV=16, I 0-0 Pres=0 NV=0)"

Representative,Party,State,Vote
"Adams, Alma S. [D-NC]",Democratic,North Carolina,Yea,
"Aderholt, Robert B. [R-AL]",Republican,Alabama,Yea,
"Aguilar, Pete [D-CA]",Democratic,California,Yea,
"Alford, Mark [R-MO]",Republican,Missouri,Yea,
"Allen, Rick W. [R-GA]",Republican,Georgia,Yea,
"Allred, Colin Z. [D-TX]",Democratic,Texas,Yea,
"Amo, Gabe [D-RI]",Democratic,Rhode Island,Yea,
"Amodei, Mark E. [R-NV]",Republican,Nevada,Yea,
"Arrington, Jodey C. [R-TX]",Republican,Texas,Yea,
"Auchincloss, Jake [D-MA]",Democratic,Massachusetts,Yea,
"Babin, Brian [R-TX]",Republican,Texas,Yea,
"Bacon, Don [R-NE]",Republican,Nebraska,Yea,
"Baird, James R. [R-IN]",Republican,Indiana,Yea,
"Balderson, Troy [R-OH]",Republican,Ohio,Yea,
"Balint, Becca [D-VT]",Democratic,Vermont,Yea,
"Banks, Jim [R-IN]",Republican,Indiana,Yea,
"Barr, Andy [R-KY]",Republican,Kentucky,Yea,
"Barragán, Nanette Diaz [D-CA]",Democratic,California,Yea,
"Bean, Aaron [R-FL]",Republican,Florida,Yea,
"Beatty, Joyce [D-OH]",Democratic,Ohio,Yea,
"Bentz, Cliff [R-OR]",Republican,Oregon,Yea,
"Bera, Ami [D-CA]",Democratic,California,Yea,
"Bergman, Jack [R-MI]",Republican,Michigan,Yea,
"Beyer, Donald S. [D-VA]",Democratic,Virginia,Yea,
"Bice, Stephanie I. [R-OK]",Republican,Oklahoma,Yea,
"Biggs, Andy [R-AZ]",Republican,Arizona,Nay,
"Bilirakis, Gus M. [R-FL]",Republican,Florida,Yea,
"Bishop, Dan [R-NC]",Republican,North Carolina,Yea,
"Bishop, Sanford D. [D-GA]",Democratic,Georgia,Yea,
"Blumenauer, Earl [D-OR]",Democratic,Oregon,Not Voting,
"Blunt Rochester, Lisa [D-DE]",Democratic,Delaware,Yea,
"Boebert, Lauren [R-CO]",Republican,Colorado,Nay,
"Bonamici, Suzanne [D-OR]",Democratic,Oregon,Yea,
"Bost, Mike [R-IL]",Republican,Illinois,Yea,
"Bowman, Jamaal [D-NY]",Democratic,New York,Not Voting,
"Boyle, Brendan F. [D-PA]",Democratic,Pennsylvania,Yea,
"Brecheen, Josh [R-OK]",Republican,Oklahoma,Nay,
"Brown, Shontel M. [D-OH]",Democratic,Ohio,Yea,
"Brownley, Julia [D-CA]",Democratic,California,Yea,
"Buchanan, Vern [R-FL]",Republican,Florida,Yea,
"Bucshon, Larry [R-IN]",Republican,Indiana,Yea,
"Budzinski, Nikki [D-IL]",Democratic,Illinois,Yea,
"Burchett, Tim [R-TN]",Republican,Tennessee,Nay,
"Burgess, Michael C. [R-TX]",Republican,Texas,Yea,
"Burlison, Eric [R-MO]",Republican,Missouri,Yea,
"Bush, Cori [D-MO]",Democratic,Missouri,Yea,
"Calvert, Ken [R-CA]",Republican,California,Yea,
"Cammack, Kat [R-FL]",Republican,Florida,Yea,
"Caraveo, Yadira [D-CO]",Democratic,Colorado,Yea,
"Carbajal, Salud O. [D-CA]",Democratic,California,Yea,
"Cárdenas, Tony [D-CA]",Democratic,California,Yea,
"Carey, Mike [R-OH]",Republican,Ohio,Yea,
"Carl, Jerry L. [R-AL]",Republican,Alabama,Yea,
"Carson, André [D-IN]",Democratic,Indiana,Yea,
"Carter, Earl L. ""Buddy"" [R-GA]",Republican,Georgia,Yea,
"Carter, John R. [R-TX]",Republican,Texas,Yea,
"Carter, Troy A. [D-LA]",Democratic,Louisiana,Yea,
"Cartwright, Matt [D-PA]",Democratic,Pennsylvania,Yea,
"Casar, Greg [D-TX]",Democratic,Texas,Yea,
"Case, Ed [D-HI]",Democratic,Hawaii,Yea,
"Casten, Sean [D-IL]",Democratic,Illinois,Yea,
"Castor, Kathy [D-FL]",Democratic,Florida,Yea,
"Castro, Joaquin [D-TX]",Democratic,Texas,Yea,
"Chavez-DeRemer, Lori [R-OR]",Republican,Oregon,Not Voting,
"Cherfilus-McCormick, Sheila [D-FL]",Democratic,Florida,Yea,
"Chu, Judy [D-CA]",Democratic,California,Yea,
"Ciscomani, Juan [R-AZ]",Republican,Arizona,Yea,
"Clark, Katherine M. [D-MA]",Democratic,Massachusetts,Yea,
"Clarke, Yvette D. [D-NY]",Democratic,New York,Yea,
"Cleaver, Emanuel [D-MO]",Democratic,Missouri,Yea,
"Cline, Ben [R-VA]",Republican,Virginia,Yea,
"Cloud, Michael [R-TX]",Republican,Texas,Yea,
"Clyburn, James E. [D-SC]",Democratic,South Carolina,Yea,
"Clyde, Andrew S. [R-GA]",Republican,Georgia,Yea,
"Cohen, Steve [D-TN]",Democratic,Tennessee,Yea,
"Cole, Tom [R-OK]",Republican,Oklahoma,Yea,
"Collins, Mike [R-GA]",Republican,Georgia,Yea,
"Comer, James [R-KY]",Republican,Kentucky,Yea,
"Connolly, Gerald E. [D-VA]",Democratic,Virginia,Yea,
"Correa, J. Luis [D-CA]",Democratic,California,Yea,
"Costa, Jim [D-CA]",Democratic,California,Yea,
"Courtney, Joe [D-CT]",Democratic,Connecticut,Yea,
"Craig, Angie [D-MN]",Democratic,Minnesota,Yea,
"Crane, Elijah [R-AZ]",Republican,Arizona,Nay,
"Crawford, Eric A. ""Rick"" [R-AR]",Republican,Arkansas,Yea,
"Crenshaw, Dan [R-TX]",Republican,Texas,Yea,
"Crockett, Jasmine [D-TX]",Democratic,Texas,Yea,
"Crow, Jason [D-CO]",Democratic,Colorado,Yea,
"Cuellar, Henry [D-TX]",Democratic,Texas,Yea,
"Curtis, John R. [R-UT]",Republican,Utah,Yea,
